player_id,first_name,last_name,name,date_of_birth,position,foot,height_in_cm,contract_expiration_date,agent_name,country_of_birth,country_of_citizenship
10,Miroslav,Klose,Miroslav Klose,1978-06-09,Attack,right,184.0,,ASBW Sport Marketing,Poland,Germany
26,Roman,Weidenfeller,Roman Weidenfeller,1980-08-06,Goalkeeper,left,190.0,,Neubauer 13 GmbH,Germany,Germany
65,Dimitar,Berbatov,Dimitar Berbatov,1981-01-30,Attack,nan,,,CSKA-AS-23 Ltd.,Bulgaria,Bulgaria
77,nan,Lúcio,Lúcio,1978-05-08,Defender,nan,,,nan,Brazil,Brazil
80,Tom,Starke,Tom Starke,1981-03-18,Goalkeeper,right,194.0,,IFM,East Germany (GDR),Germany
109,nan,Dedê,Dedê,1978-04-18,Defender,nan,,,Football Concept,Brazil,Brazil
123,Christoph,Metzelder,Christoph Metzelder,1980-11-05,Defender,nan,,,nan,Germany,Germany
132,Tomas,Rosicky,Tomas Rosicky,1980-10-04,Midfield,both,179.0,,nan,CSSR,Czech Republic
162,Marc,Ziegler,Marc Ziegler,1976-06-13,Goalkeeper,right,193.0,,nan,Germany,Germany
215,Roque,Santa Cruz,Roque Santa Cruz,1981-08-16,Attack,right,193.0,2023-12-31,nan,Paraguay,Paraguay
258,Gerald,Asamoah,Gerald Asamoah,1978-10-03,Attack,right,180.0,,nan,Ghana,Germany
264,Tamás,Hajnal,Tamás Hajnal,1981-03-15,Midfield,both,167.0,,nan,Hungary,Hungary
276,Sladan,Peric,Sladan Peric,1982-04-15,Defender,nan,,,nan,nan,Denmark
277,Sérgio,da Silva Pinto,Sérgio da Silva Pinto,1980-10-16,Midfield,right,176.0,,nan,Portugal,Germany
299,Fabian,Ernst,Fabian Ernst,,Midfield,right,183.0,,nan,Germany,Germany
325,Tomas,Ujfalusi,Tomas Ujfalusi,1978-03-24,Defender,nan,,,nan,CSSR,Czech Republic
332,Benjamin,Köhler,Benjamin Köhler,1980-08-04,Midfield,nan,,,nan,Germany,Germany
410,Sebastian,Kehl,Sebastian Kehl,1980-02-13,Midfield,left,187.0,,nan,Germany,Germany
411,Levan,Kobiashvili,Levan Kobiashvili,1977-07-10,Midfield,left,183.0,,nan,UdSSR,Georgia
447,Oka,Nikolov,Oka Nikolov,1974-05-25,Goalkeeper,right,188.0,,PRO Profil GmbH,Germany,North Macedonia
488,Gerhard,Tremmel,Gerhard Tremmel,1978-11-16,Goalkeeper,nan,,,nan,Germany,Germany
532,Claudio,Pizarro,Claudio Pizarro,1978-10-03,Attack,right,184.0,,nan,Peru,Peru
557,Simon,Jentzsch,Simon Jentzsch,1976-05-04,Goalkeeper,right,196.0,,nan,Germany,Germany
568,Martin,Stranzl,Martin Stranzl,1980-06-16,Defender,nan,,,nan,Austria,Austria
597,Aleksandr,Hleb,Aleksandr Hleb,1981-05-01,Midfield,nan,,,fair-sport GmbH,UdSSR,Belarus
598,Timo,Hildebrand,Timo Hildebrand,1979-04-05,Goalkeeper,nan,,,nan,Germany,Germany
643,Christian,Vander,Christian Vander,1980-10-24,Goalkeeper,right,195.0,,nan,Germany,Germany
670,Martin,Petrov,Martin Petrov,1979-01-15,Attack,nan,,,IFM,Bulgaria,Bulgaria
690,Ivan,Klasnic,Ivan Klasnic,1980-01-29,Attack,nan,,,nan,Germany,Croatia
691,Simon,Rolfes,Simon Rolfes,1982-01-21,Midfield,left,191.0,,nan,Germany,Germany
735,Giuseppe,Gemiti,Giuseppe Gemiti,1981-05-03,Defender,left,178.0,,nan,Germany,Germany
755,Deniz,Baris,Deniz Baris,1977-07-02,Defender,nan,,,nan,Turkey,Turkey
773,David,Jarolim,David Jarolim,1979-05-17,Midfield,right,174.0,,nan,CSSR,Czech Republic
823,Hanno,Balitsch,Hanno Balitsch,1981-01-02,Midfield,right,182.0,,Siebert & Backs,Germany,Germany
831,Selim,Teber,Selim Teber,1981-03-07,Midfield,right,187.0,,nan,Germany,Germany
837,Thorben,Marx,Thorben Marx,,Midfield,right,184.0,,Neubauer 13 GmbH,Germany,Germany
886,Jens,Langeneke,Jens Langeneke,1977-03-29,Defender,right,185.0,,nan,Germany,Germany
892,Heinz,Müller,Heinz Müller,1978-05-30,Goalkeeper,nan,,,nan,Germany,Germany
933,Ugur,Inceman,Ugur Inceman,1981-05-25,Midfield,right,183.0,,nan,Germany,Turkey
992,Christian,Weber,Christian Weber,1983-09-15,Defender,right,175.0,,nan,Germany,Germany
1073,Manuel,Friedrich,Manuel Friedrich,1979-09-13,Defender,nan,,,Dr. Michael Becker,Germany,Germany
1075,Andriy,Voronin,Andriy Voronin,1979-07-21,Attack,nan,,,Andrei Golovash,UdSSR,Ukraine
1083,Julian,de Guzmán,Julian de Guzmán,1981-03-25,Midfield,nan,,,nan,Canada,Canada
1094,Emanuel,Pogatetz,Emanuel Pogatetz,1983-01-16,Defender,left,191.0,,Stars & Friends,Austria,Austria
1095,Peer,Kluge,Peer Kluge,1980-11-22,Midfield,nan,,,Neubauer 13 GmbH,East Germany (GDR),Germany
1116,Thomas,Kleine,Thomas Kleine,1977-12-28,Defender,right,191.0,,nan,Germany,Germany
1122,Sven,Neuhaus,Sven Neuhaus,1978-04-04,Goalkeeper,nan,,,Soccer-Concept AG,Germany,Germany
1126,Matthias,Lehmann,Matthias Lehmann,1983-05-28,Midfield,nan,,,Sports360 GmbH,Germany,Germany
1139,Nikolce,Noveski,Nikolce Noveski,1979-04-28,Defender,nan,,,nan,Jugoslawien (SFR),North Macedonia
1144,Christofer,Heimeroth,Christofer Heimeroth,1981-08-01,Goalkeeper,right,194.0,,nan,Germany,Germany
1150,Raphael,Schäfer,Raphael Schäfer,1979-01-30,Goalkeeper,nan,,,nan,Poland,Germany
1161,Javier,Zanetti,Javier Zanetti,1973-08-10,Defender,right,178.0,,nan,Argentina,Argentina
1197,Peter,Graulund,Peter Graulund,1976-09-20,Attack,nan,,,Nicolai Mallet,Denmark,Denmark
1257,Michael,Ratajczak,Michael Ratajczak,1982-04-16,Goalkeeper,right,188.0,,nan,Germany,Germany
1277,Clemens,Fritz,Clemens Fritz,1980-12-07,Defender,right,183.0,,nan,East Germany (GDR),Germany
1321,Jermaine,Jones,Jermaine Jones,1981-11-03,Midfield,both,184.0,,nan,Germany,United States
1323,Martin,Amedick,Martin Amedick,1982-09-06,Defender,nan,,,nan,Germany,Germany
1327,Alou,Diarra,Alou Diarra,1981-07-15,Midfield,right,189.0,,nan,France,France
1331,Kevin,Kuranyi,Kevin Kuranyi,1982-03-02,Attack,nan,,,nan,Brazil,Germany
1335,Steven,Cherundolo,Steven Cherundolo,1979-02-19,Defender,right,172.0,,ARP Sportmarketing,United States,United States
1363,Christian,Wetklo,Christian Wetklo,1980-01-11,Goalkeeper,right,190.0,,extratime GmbH,Germany,Germany
1368,Guy,Demel,Guy Demel,1981-06-13,Defender,nan,,,FAME US Sport Agency,France,Cote d'Ivoire
1381,Maik,Franz,Maik Franz,1981-08-05,Defender,nan,,,Neubauer 13 GmbH,East Germany (GDR),Germany
1397,Michael,Owen,Michael Owen,1979-12-14,Attack,both,173.0,,nan,England,England
1423,Lars,Jacobsen,Lars Jacobsen,1979-09-20,Defender,both,181.0,,NSG ApS,Denmark,Denmark
1426,nan,Cacau,Cacau,1981-03-27,Attack,right,179.0,,NESS & Network,Brazil,Germany
